id,category,title,summary,sentiment,status,source_name,collect_method,published_at,collected_at,source_url
22,tech,"EBS, 생성형 AI 업무 활용 강좌 '마스터클래스' 시작","EBS는 생성형 AI 서비스 클로드의 업무 활용법을 배우는 실습형 라이브 강좌 ‘EBS AI 마스터클래스’를 운영한다. 수강생은 프롬프트 작성, 문서 작성, 자료 분석, 업무 자동화 등을 실습하며, 25일부터 9월 3일까지 주 2회 줌 웨비나에 참여한다. 사전 영상 강의와 11월 3일까지의 다시보기·질의응답 서비스, 출석자 대상 수료증도 제공된다.",긍정,summarized,etnews,crawl,2026-08-05T10:08:41+00:00,2026-08-05T13:34:42.486574+00:00,https://www.etnews.com/20260805000376
23,tech,[업무보고] 행정·재난관리에 AI 전면 확산… 국민 체감 AI 정부 구현,"행정안전부는 연내 AI가 국민 혜택을 자동으로 찾아 신청하는 서비스를 시범 개통하고, AI 정부24·국민비서 및 공공기관 업무관리 플랫폼 활용을 확대한다. 재난 분야에서는 AI 예측모델과 CCTV·드론을 활용한 조기 탐지 및 대응 지원 체계를 구축하며, 2030년까지 공직 AI 전문가 2만명을 양성할 계획이다.",긍정,summarized,etnews,crawl,2026-08-05T10:00:00+00:00,2026-08-05T13:34:42.493007+00:00,https://www.etnews.com/20260805000119
24,tech,"오픈AI, 법무법인 태평양 전사에 '기업용 챗GPT' 공급","오픈AI가 법무법인 태평양 전 구성원에게 ‘챗GPT 엔터프라이즈’를 공급했으며, 국내 대형 로펌의 전사적 기업용 AI 도입 사례로 소개됐다. 태평양은 챗GPT 워크를 법률 리서치, 문서 작성, 자료 분석·요약, 해외 법령 검토 등에 활용하고 법률 특화 AI와 병행하는 업무체계를 운영할 계획이다.",긍정,summarized,etnews,crawl,2026-08-05T09:35:59+00:00,2026-08-05T13:34:42.498586+00:00,https://www.etnews.com/20260805000371
25,IT,6월 경상수지 497.3억달러 흑자…두 달 연속 역대 최대,"6월 경상수지는 497억3천만달러 흑자로, 두 달 연속 역대 최대치를 기록했다. IT 품목 수출은 전년 동월 대비 160.4% 증가했으며, 반도체는 196.9%, 컴퓨터 주변기기와 SSD는 282.7% 늘었다.",긍정,summarized,naver,api,2026-08-06T00:02:00+00:00,2026-08-06T00:04:26.882126+00:00,https://www.news2day.co.kr/article/20260806500030
26,IT,'갤럭시 S25' One UI 9 베타 프로그램 준비 끝? 삼성 멤버스에 베타 페이...,삼성 멤버스 포럼의 One UI 베타 프로그램 섹션에 갤럭시 S25 시리즈 관련 항목이 추가된 것으로 알려졌다. 이를 두고 갤럭시 S25 시리즈의 One UI 9 베타 프로그램 준비가 진행 중이라는 관측이 나왔다.,중립,summarized,naver,api,2026-08-06T00:02:00+00:00,2026-08-06T00:04:26.888281+00:00,https://kbench.com/?q=node/280953
27,IT,또 ‘역대 최대’ 갈아치웠다… 반도체 호조에 6월 경상수지 흑자 경신,,,clean,naver,api,2026-08-06T00:01:00+00:00,2026-08-06T00:04:26.893660+00:00,https://www.kmib.co.kr/article/view.asp?arcid=9000001024&cp=nv
28,,"아우토크립트, 세계 최대 해킹대회 데프콘서 자동차 이더넷 보안 연구 발표",,,clean,etnews,crawl,2026-08-06T00:58:11+00:00,2026-08-06T01:17:06.755897+00:00,https://www.etnews.com/20260806000072
29,,"삼보컴퓨터, 과기정통부 주관 '에이전틱 AI 얼라이언스' 기술분과 참여",,,clean,etnews,crawl,2026-08-06T00:28:10+00:00,2026-08-06T01:17:06.764014+00:00,https://www.etnews.com/20260806000046
30,tech,"과기정통부, DB하이텍과 750억원 규모 중고장비 이전 협약",,,clean,naver,api,2026-08-06T01:32:00+00:00,2026-08-06T01:34:32.367660+00:00,https://www.dailian.co.kr/news/view/1674934/?sc=Naver
31,tech,"부영그룹 창신대 방산AI융합학과, 2027학년도 첫 신입생 30명 모집",,,clean,naver,api,2026-08-06T01:32:00+00:00,2026-08-06T01:34:32.373522+00:00,http://www.lawissue.co.kr/view.php?ud=20260806102916601167191f6c6e_12
32,tech,"[기고]전기는 전남에서 만드는데, 혜택은 왜 기업부터인가",,,clean,naver,api,2026-08-06T01:32:00+00:00,2026-08-06T01:34:32.379325+00:00,https://www.kukinews.com/article/view/kuk202608060029
33,AI,"어드밴텍, NVIDIA Jetson Thor 전 라인업 지원…엣지 AI 플랫폼 완성",,,clean,etnews,crawl,2026-08-06T00:26:51+00:00,2026-08-06T01:35:58.895517+00:00,https://www.etnews.com/20260806000045
34,,"“AI 컨택센터 보안역량·기술력 입증” 케이엘씨앤에스, 국제표준 획득",,,clean,etnews,crawl,2026-08-06T00:18:54+00:00,2026-08-06T01:36:27.270101+00:00,https://www.etnews.com/20260806000037
35,,"플래티어, '엑스젠' 운영·신뢰·확장성 강화…AI 에이전트 자산화 지원",,,clean,etnews,crawl,2026-08-06T00:13:56+00:00,2026-08-06T01:36:27.278417+00:00,https://www.etnews.com/20260806000033
