id,category,title,summary,sentiment,status,source_name,collect_method,published_at,collected_at,source_url
11,반도체,정청래 “레버리지로 국민 피눈물”… 김민석 “거래중단 더 큰 혼란”,"송영길 후보는 삼성전자·SK하이닉스 관련 단일종목 레버리지 ETF 도입 과정에서 당정 협의가 부족했다고 지적하며 당시 당대표였던 정청래 후보의 책임을 언급했다. 정청래 후보는 레버리지 상품이 국민에게 피해를 줄 수 있다고 비판했고, 김민석 후보는 거래 중단이 더 큰 혼란을 초래할 수 있다는 입장을 밝혔다.",부정,summarized,naver,api,2026-08-05T12:27:00+00:00,2026-08-05T12:41:59.706033+00:00,https://www.segye.com/newsView/20260805523749?OutUrl=naver
12,반도체,"삼성전자·SK하이닉스 ""주주 환원 의미 있게 확대할 것"" 약속",삼성전자는 지속 가능한 방식으로 주주환원을 강화하는 방안을 검토 중이라고 로이터통신이 보도했다. SK하이닉스도 주주환원을 의미 있게 확대하겠다는 입장을 밝혔다.,긍정,summarized,naver,api,2026-08-05T12:24:00+00:00,2026-08-05T12:41:59.711159+00:00,https://www.news1.kr/world/northeast-asia/6250475
13,IT,"[이수영의 IT 칼럼] AI 대전환 시대, 보조공학은 지원을 넘어 장애인의...","보조공학은 휠체어, 의수·의족 등 장애인의 이동과 일상생활을 지원해 온 기술로 소개됐다. 칼럼은 AI 대전환 시대에 보조공학의 역할이 단순 지원을 넘어 확대될 수 있음을 다룬다.",긍정,summarized,naver,api,2026-08-05T13:04:00+00:00,2026-08-05T13:05:42.735605+00:00,https://www.dailyt.co.kr/newsView/dlt202608050012
14,IT,Can I Ask My Boyfriend to Straighten and Whiten His Teeth?,"한 여성은 치아가 고르지 않고 변색된 남자친구에게 교정과 미백을 제안해도 될지 고민하며, 이것이 자신의 매력에 영향을 준다고 밝혔다. 그는 남자친구를 훌륭한 사람이라고 평가하면서도 이러한 생각이 피상적으로 보일까 우려한다.",중립,summarized,naver,api,2026-08-05T13:02:00+00:00,2026-08-05T13:05:42.741953+00:00,https://www.nytimes.com/2026/08/05/style/romantic-partner-attraction-self-improvement.html?partner=naver
15,IT,"키옥시아, AI 데이터센터용 메모리 확장 모듈 'XL1 시리즈' 공개",키옥시아가 AI 처리로 메모리 수요가 증가한 데이터센터를 겨냥해 메모리 확장 모듈 ‘XL1 시리즈’를 공개했다. 이달 중 업계 파트너를 대상으로 평가용 샘플 출하를 시작할 예정이다.,긍정,summarized,naver,api,2026-08-05T12:58:00+00:00,2026-08-05T13:05:42.745237+00:00,https://www.digitaltoday.co.kr/news/articleView.html?idxno=690359
22,tech,"EBS, 생성형 AI 업무 활용 강좌 '마스터클래스' 시작","EBS는 생성형 AI 서비스 ‘클로드’의 업무 활용법을 다루는 실시간 실습형 강좌 ‘EBS AI 마스터클래스’를 25일부터 9월 3일까지 주 2회 운영한다. 수강생은 프롬프트 작성, 문서 작성, 자료 분석, 업무 자동화 등을 실습하며, 사전 영상 강의와 다시보기·질의응답 서비스도 제공받는다.",긍정,summarized,etnews,crawl,2026-08-05T10:08:41+00:00,2026-08-05T13:34:42.486574+00:00,https://www.etnews.com/20260805000376
23,tech,[업무보고] 행정·재난관리에 AI 전면 확산… 국민 체감 AI 정부 구현,"행정안전부는 연내 AI가 국민 혜택을 자동으로 찾아 신청하는 서비스를 시범 도입하고, AI 정부24·국민비서 및 공무원용 AI 업무 플랫폼을 확대한다. 재난 분야에서는 취약성 데이터를 활용한 AI 예측 모델과 의사결정 지원 서비스, CCTV·드론 기반 현장 대응 체계를 구축할 계획이다.",긍정,summarized,etnews,crawl,2026-08-05T10:00:00+00:00,2026-08-05T13:34:42.493007+00:00,https://www.etnews.com/20260805000119
24,tech,"오픈AI, 법무법인 태평양 전사에 '기업용 챗GPT' 공급","오픈AI는 법무법인 태평양 전 구성원에게 ‘챗GPT 엔터프라이즈’를 공급했으며, 국내 대형 로펌의 전사적 기업용 AI 도입 사례로 소개됐다. 태평양은 법률 리서치, 문서 작성, 자료 분석·요약, 해외 법령 검토 등에 챗GPT와 ‘챗GPT 워크’를 활용하고, 범용 생성형 AI와 법률 특화 AI를 병행할 계획이다.",긍정,summarized,etnews,crawl,2026-08-05T09:35:59+00:00,2026-08-05T13:34:42.498586+00:00,https://www.etnews.com/20260805000371
25,IT,6월 경상수지 497.3억달러 흑자…두 달 연속 역대 최대,"6월 IT품목 수출은 전년 동월 대비 160.4% 증가했으며, 반도체 수출은 196.9%, 컴퓨터 주변기기와 SSD는 282.7% 늘었다. 반도체 외 수출 분야도 전반적으로 증가세를 보였다.",긍정,summarized,naver,api,2026-08-06T00:02:00+00:00,2026-08-06T00:04:26.882126+00:00,https://www.news2day.co.kr/article/20260806500030
26,IT,'갤럭시 S25' One UI 9 베타 프로그램 준비 끝? 삼성 멤버스에 베타 페이...,삼성 멤버스 포럼의 One UI 베타 프로그램 섹션에 갤럭시 S25 시리즈 관련 항목이 추가된 것으로 전해졌다. 이에 따라 갤럭시 S25 시리즈의 One UI 9 베타 프로그램이 조만간 진행될 가능성이 제기됐다.,중립,summarized,naver,api,2026-08-06T00:02:00+00:00,2026-08-06T00:04:26.888281+00:00,https://kbench.com/?q=node/280953
27,IT,또 ‘역대 최대’ 갈아치웠다… 반도체 호조에 6월 경상수지 흑자 경신,"6월 경상수지 흑자가 IT 관련 품목 수출 증가에 힘입어 역대 최대를 경신했다. 컴퓨터 주변기기(SSD) 수출은 282.7%, 반도체는 196.9%, 무선통신기기는 60.6% 증가했으며 동남아 수출도 105.7% 늘었다.",긍정,summarized,naver,api,2026-08-06T00:01:00+00:00,2026-08-06T00:04:26.893660+00:00,https://www.kmib.co.kr/article/view.asp?arcid=9000001024&cp=nv
28,,"아우토크립트, 세계 최대 해킹대회 데프콘서 자동차 이더넷 보안 연구 발표","아우토크립트는 데프콘 34 차량 해킹대회 세션에서 DHCP를 지원하는 자동차 이더넷 환경의 네트워크 플러딩 공격 시나리오와 양산 차량 검증 결과를 발표한다. 회사는 OBD 이더넷 인터페이스를 통한 차량 네트워크 통신 방해 가능성을 확인했으며, 해당 취약점을 제조사와 공유하고 보안 조치를 진행 중이라고 밝혔다. 관련 보안 업데이트는 올해 안에 배포될 예정이다.",긍정,summarized,etnews,crawl,2026-08-06T00:58:11+00:00,2026-08-06T01:17:06.755897+00:00,https://www.etnews.com/20260806000072
29,,"삼보컴퓨터, 과기정통부 주관 '에이전틱 AI 얼라이언스' 기술분과 참여","삼보컴퓨터가 과기정통부의 민·관 협력체 ‘에이전틱 AI 얼라이언스’ 기술분과에 참여해 AI 에이전트 국제표준 대응, 벤치마크셋 구축 및 성능평가 기준 논의에 참여한다. 회사는 AI PC·온디바이스 AI·sLLM·RAG 솔루션 개발과 국내외 AI 인프라 구축 경험을 바탕으로 활동할 계획이다.",긍정,summarized,etnews,crawl,2026-08-06T00:28:10+00:00,2026-08-06T01:17:06.764014+00:00,https://www.etnews.com/20260806000046
30,tech,"과기정통부, DB하이텍과 750억원 규모 중고장비 이전 협약","과학기술정보통신부와 DB하이텍은 약 750억원 규모의 중고 반도체 장비를 공공 연구 기반시설로 이전하는 협약을 추진한다. 이번 협약은 지난해 3월 과기정통부와 주요 반도체 기업 간 업무협약의 후속 조치로, 산업 현장과 공공 연구 인프라 간 기술 격차 축소 및 연구 생태계 강화를 목표로 한다.",긍정,summarized,naver,api,2026-08-06T01:32:00+00:00,2026-08-06T01:34:32.367660+00:00,https://www.dailian.co.kr/news/view/1674934/?sc=Naver
31,tech,"부영그룹 창신대 방산AI융합학과, 2027학년도 첫 신입생 30명 모집","창신대 방산AI융합학과는 2027학년도에 첫 신입생 30명을 모집한다. 창신대는 디노티시아와 업무협약을 맺고 교육과정 공동 운영, 실습환경 구축, 전문가 특강·멘토링, 현장실습 및 취업 연계를 추진할 계획이다.",긍정,summarized,naver,api,2026-08-06T01:32:00+00:00,2026-08-06T01:34:32.373522+00:00,http://www.lawissue.co.kr/view.php?ud=20260806102916601167191f6c6e_12
32,tech,"[기고]전기는 전남에서 만드는데, 혜택은 왜 기업부터인가",전남·광주의 풍부한 전력을 AI·반도체·미래 모빌리티 등 산업 발전 기회로 활용해야 한다는 내용이다. 다만 전력 생산 지역의 혜택이 기업에 우선 돌아가는 구조에 문제를 제기한다.,중립,summarized,naver,api,2026-08-06T01:32:00+00:00,2026-08-06T01:34:32.379325+00:00,https://www.kukinews.com/article/view/kuk202608060029
33,AI,"어드밴텍, NVIDIA Jetson Thor 전 라인업 지원…엣지 AI 플랫폼 완성","어드밴텍은 NVIDIA Jetson T2000·T3000 지원 플랫폼을 공개해 T2000·T3000·T4000·T5000 등 Jetson Thor 전 라인업을 지원하는 엣지 AI 포트폴리오를 구축했다. 신규 플랫폼은 로보틱스·자율주행·스마트팩토리를 대상으로 실시간 AI 추론, 다중 센서 처리 및 산업용 AI 개발 환경을 제공하며, T2000·T3000 기반 제품은 2027년 1분기 상용화가 예상된다.",긍정,summarized,etnews,crawl,2026-08-06T00:26:51+00:00,2026-08-06T01:35:58.895517+00:00,https://www.etnews.com/20260806000045
34,,"“AI 컨택센터 보안역량·기술력 입증” 케이엘씨앤에스, 국제표준 획득","케이엘씨앤에스는 ISO/IEC 27001·27701과 과학기술혁신기업(STI) 인증을 획득했다고 밝혔다. 인증 범위는 AI 컨택센터 및 IPCC 솔루션의 연구개발·구축·SaaS·클라우드 운영과 CRM, 음성인식, 상담분석, 챗봇·보이스봇 등 관련 서비스다.",긍정,summarized,etnews,crawl,2026-08-06T00:18:54+00:00,2026-08-06T01:36:27.270101+00:00,https://www.etnews.com/20260806000037
35,,"플래티어, '엑스젠' 운영·신뢰·확장성 강화…AI 에이전트 자산화 지원","플래티어는 AI 에이전트 플랫폼 ‘엑스젠’에 온톨로지 기반 지식 그래프와 벡터 검색을 결합한 하이브리드 RAG, 실행·응답 검증 기능 등을 적용해 정확도와 운영 일관성을 강화했다. 자연어 기반 UI 생성, 외부 API 연동, 표준 코드 기반 에이전트 재사용, 온프레미스·클라우드 및 보안 기능 지원도 추가했으며, 롯데홈쇼핑·제주은행·iM캐피탈 등에 공급을 확대하고 있다.",긍정,summarized,etnews,crawl,2026-08-06T00:13:56+00:00,2026-08-06T01:36:27.278417+00:00,https://www.etnews.com/20260806000033
36,,"[더벨][i-point] 에이루트, 글로벌 리테일 박람회 'RetailNOW 2026' 참여",에이루트는 글로벌 리테일 박람회 ‘RetailNOW 2026’에 참가해 자체 부스를 운영하고 현지 기업 및 참가자들에게 다양한 제품을 선보였다. 이번 행사에는 글로벌 소매·결제 IT 기업 약 170곳과 1500명 이상이 참가했다.,긍정,summarized,naver,api,2026-08-06T05:18:00+00:00,2026-08-06T05:19:39.245305+00:00,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202608061403420240106539
